,Country_Name,Indicator_Name,Region,Income_Group,Year,Value
25,Cabo Verde,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Lower middle income,1997,
26,Cambodia,Government expenditure per primary student as % of GDP per capita (%),East Asia & Pacific,Low income,1997,
27,Cameroon,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Lower middle income,1997,
28,Central African Republic,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Low income,1997,
29,Chad,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Low income,1997,16.24502945
30,Channel Islands,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,High income: nonOECD,1997,
31,Chile,Government expenditure per primary student as % of GDP per capita (%),Latin America & Caribbean,High income: OECD,1997,13.55883026
32,China,Government expenditure per primary student as % of GDP per capita (%),East Asia & Pacific,Upper middle income,1997,
33,Colombia,Government expenditure per primary student as % of GDP per capita (%),Latin America & Caribbean,Upper middle income,1997,
34,Comoros,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Low income,1997,
35,"Congo, Dem. Rep.",Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Low income,1997,
36,"Congo, Rep.",Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Lower middle income,1997,
37,Costa Rica,Government expenditure per primary student as % of GDP per capita (%),Latin America & Caribbean,Upper middle income,1997,
38,Cote d'Ivoire,Government expenditure per primary student as % of GDP per capita (%),,,1997,0.0
39,Cuba,Government expenditure per primary student as % of GDP per capita (%),Latin America & Caribbean,Upper middle income,1997,
40,Cyprus,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,High income: nonOECD,1997,
41,Czech Republic,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,High income: OECD,1997,
42,Denmark,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,High income: OECD,1997,
43,Djibouti,Government expenditure per primary student as % of GDP per capita (%),Middle East & North Africa,Lower middle income,1997,
44,Dominica,Government expenditure per primary student as % of GDP per capita (%),Latin America & Caribbean,Upper middle income,1997,
45,Dominican Republic,Government expenditure per primary student as % of GDP per capita (%),Latin America & Caribbean,Upper middle income,1997,
46,Ecuador,Government expenditure per primary student as % of GDP per capita (%),Latin America & Caribbean,Upper middle income,1997,
47,El Salvador,Government expenditure per primary student as % of GDP per capita (%),Latin America & Caribbean,Lower middle income,1997,
48,Equatorial Guinea,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,High income: nonOECD,1997,
49,Eritrea,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Low income,1997,
50,Estonia,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,High income: OECD,1997,18.12812042
51,Ethiopia,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Low income,1997,18.86875916
52,Fiji,Government expenditure per primary student as % of GDP per capita (%),East Asia & Pacific,Upper middle income,1997,
53,Finland,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,High income: OECD,1997,
54,France,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,High income: OECD,1997,
55,"Gambia, The",Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Low income,1997,
56,Georgia,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,Lower middle income,1997,
57,Germany,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,High income: OECD,1997,
58,Ghana,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Lower middle income,1997,
59,Guatemala,Government expenditure per primary student as % of GDP per capita (%),Latin America & Caribbean,Lower middle income,1997,
60,Guinea,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Low income,1997,
61,Guyana,Government expenditure per primary student as % of GDP per capita (%),Latin America & Caribbean,Lower middle income,1997,
62,"Hong Kong SAR, China",Government expenditure per primary student as % of GDP per capita (%),East Asia & Pacific,High income: nonOECD,1997,
63,Hungary,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,Upper middle income,1997,
64,Iceland,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,High income: OECD,1997,
65,India,Government expenditure per primary student as % of GDP per capita (%),South Asia,Lower middle income,1997,
66,Indonesia,Government expenditure per primary student as % of GDP per capita (%),East Asia & Pacific,Lower middle income,1997,
67,"Iran, Islamic Rep.",Government expenditure per primary student as % of GDP per capita (%),Middle East & North Africa,Upper middle income,1997,
68,Ireland,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,High income: OECD,1997,
69,Israel,Government expenditure per primary student as % of GDP per capita (%),Middle East & North Africa,High income: OECD,1997,
70,Italy,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,High income: OECD,1997,
71,Jamaica,Government expenditure per primary student as % of GDP per capita (%),Latin America & Caribbean,Upper middle income,1997,
72,Japan,Government expenditure per primary student as % of GDP per capita (%),East Asia & Pacific,High income: OECD,1997,
73,Jordan,Government expenditure per primary student as % of GDP per capita (%),Middle East & North Africa,Upper middle income,1997,
74,Kenya,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Low income,1997,
75,Kiribati,Government expenditure per primary student as % of GDP per capita (%),East Asia & Pacific,Lower middle income,1997,
76,"Korea, Rep.",Government expenditure per primary student as % of GDP per capita (%),East Asia & Pacific,High income: OECD,1997,
77,Kuwait,Government expenditure per primary student as % of GDP per capita (%),Middle East & North Africa,High income: nonOECD,1997,43.69472885
78,Lao PDR,Government expenditure per primary student as % of GDP per capita (%),East Asia & Pacific,Lower middle income,1997,5.774740219
79,Latvia,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,High income: nonOECD,1997,
80,Lesotho,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Lower middle income,1997,20.04857063
81,Liechtenstein,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,High income: nonOECD,1997,
82,Lithuania,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,High income: nonOECD,1997,
83,Luxembourg,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,High income: OECD,1997,
84,"Macao SAR, China",Government expenditure per primary student as % of GDP per capita (%),East Asia & Pacific,High income: nonOECD,1997,
85,Madagascar,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Low income,1997,
86,Malawi,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Low income,1997,
87,Malaysia,Government expenditure per primary student as % of GDP per capita (%),East Asia & Pacific,Upper middle income,1997,
88,Maldives,Government expenditure per primary student as % of GDP per capita (%),South Asia,Upper middle income,1997,
89,Mali,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Low income,1997,
90,Malta,Government expenditure per primary student as % of GDP per capita (%),Middle East & North Africa,High income: nonOECD,1997,
91,Mauritania,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Lower middle income,1997,0.0
92,Mauritius,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Upper middle income,1997,
93,Mexico,Government expenditure per primary student as % of GDP per capita (%),Latin America & Caribbean,Upper middle income,1997,
94,Moldova,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,Lower middle income,1997,
95,Monaco,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,High income: nonOECD,1997,3.023940086
96,Mongolia,Government expenditure per primary student as % of GDP per capita (%),East Asia & Pacific,Lower middle income,1997,
97,Morocco,Government expenditure per primary student as % of GDP per capita (%),Middle East & North Africa,Lower middle income,1997,
98,Mozambique,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Low income,1997,
99,Namibia,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Upper middle income,1997,
100,Nepal,Government expenditure per primary student as % of GDP per capita (%),South Asia,Low income,1997,
101,Netherlands,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,High income: OECD,1997,
102,New Caledonia,Government expenditure per primary student as % of GDP per capita (%),East Asia & Pacific,High income: nonOECD,1997,
103,New Zealand,Government expenditure per primary student as % of GDP per capita (%),East Asia & Pacific,High income: OECD,1997,17.44235039
104,Nicaragua,Government expenditure per primary student as % of GDP per capita (%),Latin America & Caribbean,Lower middle income,1997,
105,Niger,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Low income,1997,
106,Norway,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,High income: OECD,1997,37.9444313
107,Oman,Government expenditure per primary student as % of GDP per capita (%),Middle East & North Africa,High income: nonOECD,1997,9.812159538
108,Pakistan,Government expenditure per primary student as % of GDP per capita (%),South Asia,Lower middle income,1997,0.0
109,Panama,Government expenditure per primary student as % of GDP per capita (%),Latin America & Caribbean,Upper middle income,1997,0.0
110,Paraguay,Government expenditure per primary student as % of GDP per capita (%),Latin America & Caribbean,Lower middle income,1997,
111,Peru,Government expenditure per primary student as % of GDP per capita (%),Latin America & Caribbean,Upper middle income,1997,
112,Philippines,Government expenditure per primary student as % of GDP per capita (%),East Asia & Pacific,Lower middle income,1997,12.49137974
113,Poland,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,High income: OECD,1997,
114,Portugal,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,High income: OECD,1997,
115,Romania,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,Upper middle income,1997,
116,Rwanda,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Low income,1997,
117,Samoa,Government expenditure per primary student as % of GDP per capita (%),East Asia & Pacific,Lower middle income,1997,
118,San Marino,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,High income: nonOECD,1997,
119,Sao Tome and Principe,Government expenditure per primary student as % of GDP per capita (%),,,1997,
120,Saudi Arabia,Government expenditure per primary student as % of GDP per capita (%),Middle East & North Africa,High income: nonOECD,1997,
121,Senegal,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Lower middle income,1997,
122,Serbia,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,Upper middle income,1997,
123,Seychelles,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Upper middle income,1997,
124,Sierra Leone,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Low income,1997,
125,Singapore,Government expenditure per primary student as % of GDP per capita (%),East Asia & Pacific,High income: nonOECD,1997,
126,Sint Maarten (Dutch part),Government expenditure per primary student as % of GDP per capita (%),Latin America & Caribbean,High income: nonOECD,1997,
127,Slovak Republic,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,High income: OECD,1997,24.39578056
128,Slovenia,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,High income: OECD,1997,
129,Solomon Islands,Government expenditure per primary student as % of GDP per capita (%),East Asia & Pacific,Lower middle income,1997,
130,Somalia,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Low income,1997,
131,South Africa,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Upper middle income,1997,
132,South Asia,Government expenditure per primary student as % of GDP per capita (%),0,0,1997,
133,South Sudan,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Lower middle income,1997,
134,Spain,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,High income: OECD,1997,
135,Sri Lanka,Government expenditure per primary student as % of GDP per capita (%),South Asia,Lower middle income,1997,
136,St. Kitts and Nevis,Government expenditure per primary student as % of GDP per capita (%),Latin America & Caribbean,High income: nonOECD,1997,
137,St. Lucia,Government expenditure per primary student as % of GDP per capita (%),Latin America & Caribbean,Upper middle income,1997,
138,St. Martin (French part),Government expenditure per primary student as % of GDP per capita (%),Latin America & Caribbean,High income: nonOECD,1997,
139,St. Vincent and the Grenadines,Government expenditure per primary student as % of GDP per capita (%),Latin America & Caribbean,Upper middle income,1997,
140,Swaziland,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Lower middle income,1997,
141,Sweden,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,High income: OECD,1997,
142,Switzerland,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,High income: OECD,1997,
143,Syrian Arab Republic,Government expenditure per primary student as % of GDP per capita (%),Middle East & North Africa,Lower middle income,1997,8.926239967
144,Tanzania,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Low income,1997,
145,Thailand,Government expenditure per primary student as % of GDP per capita (%),East Asia & Pacific,Upper middle income,1997,14.26972008
146,Timor-Leste,Government expenditure per primary student as % of GDP per capita (%),East Asia & Pacific,Lower middle income,1997,
147,Togo,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Low income,1997,
148,Tonga,Government expenditure per primary student as % of GDP per capita (%),East Asia & Pacific,Upper middle income,1997,
149,Trinidad and Tobago,Government expenditure per primary student as % of GDP per capita (%),Latin America & Caribbean,High income: nonOECD,1997,
150,Tunisia,Government expenditure per primary student as % of GDP per capita (%),Middle East & North Africa,Upper middle income,1997,0.0
151,Turkey,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,Upper middle income,1997,
152,Uganda,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Low income,1997,
153,Ukraine,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,Lower middle income,1997,65.10102081
154,United Arab Emirates,Government expenditure per primary student as % of GDP per capita (%),Middle East & North Africa,High income: nonOECD,1997,5.271749973
155,United Kingdom,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,High income: OECD,1997,
156,United States,Government expenditure per primary student as % of GDP per capita (%),North America,High income: OECD,1997,
157,Uruguay,Government expenditure per primary student as % of GDP per capita (%),Latin America & Caribbean,High income: nonOECD,1997,
158,Vanuatu,Government expenditure per primary student as % of GDP per capita (%),East Asia & Pacific,Lower middle income,1997,
159,"Venezuela, RB",Government expenditure per primary student as % of GDP per capita (%),Latin America & Caribbean,Upper middle income,1997,
160,Vietnam,Government expenditure per primary student as % of GDP per capita (%),East Asia & Pacific,Lower middle income,1997,
161,Zambia,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Lower middle income,1997,
162,Zimbabwe,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Low income,1997,
163,Afghanistan,Government expenditure per primary student as % of GDP per capita (%),South Asia,Low income,1998,
164,Algeria,Government expenditure per primary student as % of GDP per capita (%),Middle East & North Africa,Upper middle income,1998,
165,Andorra,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,High income: nonOECD,1998,
166,Argentina,Government expenditure per primary student as % of GDP per capita (%),Latin America & Caribbean,Upper middle income,1998,11.00508022
167,Armenia,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,Lower middle income,1998,
168,Aruba,Government expenditure per primary student as % of GDP per capita (%),Latin America & Caribbean,High income: nonOECD,1998,
169,Australia,Government expenditure per primary student as % of GDP per capita (%),East Asia & Pacific,High income: OECD,1998,
170,Austria,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,High income: OECD,1998,24.58052063
171,Bahrain,Government expenditure per primary student as % of GDP per capita (%),Middle East & North Africa,High income: nonOECD,1998,
172,Bangladesh,Government expenditure per primary student as % of GDP per capita (%),South Asia,Low income,1998,
173,Barbados,Government expenditure per primary student as % of GDP per capita (%),Latin America & Caribbean,High income: nonOECD,1998,
174,Belgium,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,High income: OECD,1998,
175,Belize,Government expenditure per primary student as % of GDP per capita (%),Latin America & Caribbean,Upper middle income,1998,
176,Benin,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Low income,1998,
177,Bermuda,Government expenditure per primary student as % of GDP per capita (%),North America,High income: nonOECD,1998,
178,Bhutan,Government expenditure per primary student as % of GDP per capita (%),South Asia,Lower middle income,1998,
179,Bolivia,Government expenditure per primary student as % of GDP per capita (%),Latin America & Caribbean,Lower middle income,1998,13.45102978
180,Bosnia and Herzegovina,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,Upper middle income,1998,
181,Botswana,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Upper middle income,1998,
182,Brazil,Government expenditure per primary student as % of GDP per capita (%),Latin America & Caribbean,Upper middle income,1998,
183,British Virgin Islands,Government expenditure per primary student as % of GDP per capita (%),,,1998,
184,Brunei Darussalam,Government expenditure per primary student as % of GDP per capita (%),East Asia & Pacific,High income: nonOECD,1998,
185,Bulgaria,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,Upper middle income,1998,12.52626991
186,Burkina Faso,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Low income,1998,
187,Burundi,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Low income,1998,
188,Cabo Verde,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Lower middle income,1998,
189,Cambodia,Government expenditure per primary student as % of GDP per capita (%),East Asia & Pacific,Low income,1998,5.056509972
190,Cameroon,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Lower middle income,1998,
191,Central African Republic,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Low income,1998,
192,Chad,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Low income,1998,9.355019569
193,Channel Islands,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,High income: nonOECD,1998,
194,Chile,Government expenditure per primary student as % of GDP per capita (%),Latin America & Caribbean,High income: OECD,1998,11.86468983
195,China,Government expenditure per primary student as % of GDP per capita (%),East Asia & Pacific,Upper middle income,1998,5.90241003
196,Colombia,Government expenditure per primary student as % of GDP per capita (%),Latin America & Caribbean,Upper middle income,1998,13.47809982
197,Comoros,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Low income,1998,9.246800423
198,"Congo, Dem. Rep.",Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Low income,1998,
199,"Congo, Rep.",Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Lower middle income,1998,
200,Costa Rica,Government expenditure per primary student as % of GDP per capita (%),Latin America & Caribbean,Upper middle income,1998,
201,Cote d'Ivoire,Government expenditure per primary student as % of GDP per capita (%),,,1998,14.23040962
202,Cuba,Government expenditure per primary student as % of GDP per capita (%),Latin America & Caribbean,Upper middle income,1998,22.23534012
203,Cyprus,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,High income: nonOECD,1998,
204,Czech Republic,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,High income: OECD,1998,9.674880028
205,Denmark,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,High income: OECD,1998,26.33721924
206,Djibouti,Government expenditure per primary student as % of GDP per capita (%),Middle East & North Africa,Lower middle income,1998,42.899189
207,Dominica,Government expenditure per primary student as % of GDP per capita (%),Latin America & Caribbean,Upper middle income,1998,
208,Dominican Republic,Government expenditure per primary student as % of GDP per capita (%),Latin America & Caribbean,Upper middle income,1998,
209,Ecuador,Government expenditure per primary student as % of GDP per capita (%),Latin America & Caribbean,Upper middle income,1998,
210,El Salvador,Government expenditure per primary student as % of GDP per capita (%),Latin America & Caribbean,Lower middle income,1998,8.366789818
211,Equatorial Guinea,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,High income: nonOECD,1998,
212,Eritrea,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Low income,1998,
213,Estonia,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,High income: OECD,1998,17.20985031
214,Ethiopia,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Low income,1998,
215,Fiji,Government expenditure per primary student as % of GDP per capita (%),East Asia & Pacific,Upper middle income,1998,
216,Finland,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,High income: OECD,1998,
217,France,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,High income: OECD,1998,
218,"Gambia, The",Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Low income,1998,
219,Georgia,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,Lower middle income,1998,
220,Germany,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,High income: OECD,1998,16.49010086
221,Ghana,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Lower middle income,1998,
222,Guatemala,Government expenditure per primary student as % of GDP per capita (%),Latin America & Caribbean,Lower middle income,1998,
223,Guinea,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Low income,1998,
224,Guyana,Government expenditure per primary student as % of GDP per capita (%),Latin America & Caribbean,Lower middle income,1998,
225,"Hong Kong SAR, China",Government expenditure per primary student as % of GDP per capita (%),East Asia & Pacific,High income: nonOECD,1998,
226,Hungary,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,Upper middle income,1998,17.71471024
227,Iceland,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,High income: OECD,1998,
228,India,Government expenditure per primary student as % of GDP per capita (%),South Asia,Lower middle income,1998,
229,Indonesia,Government expenditure per primary student as % of GDP per capita (%),East Asia & Pacific,Lower middle income,1998,
230,"Iran, Islamic Rep.",Government expenditure per primary student as % of GDP per capita (%),Middle East & North Africa,Upper middle income,1998,
231,Ireland,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,High income: OECD,1998,11.19894981
232,Israel,Government expenditure per primary student as % of GDP per capita (%),Middle East & North Africa,High income: OECD,1998,
233,Italy,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,High income: OECD,1998,22.20491028
234,Jamaica,Government expenditure per primary student as % of GDP per capita (%),Latin America & Caribbean,Upper middle income,1998,
235,Japan,Government expenditure per primary student as % of GDP per capita (%),East Asia & Pacific,High income: OECD,1998,19.4144001
236,Jordan,Government expenditure per primary student as % of GDP per capita (%),Middle East & North Africa,Upper middle income,1998,13.47782993
237,Kenya,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Low income,1998,
238,Kiribati,Government expenditure per primary student as % of GDP per capita (%),East Asia & Pacific,Lower middle income,1998,
239,"Korea, Rep.",Government expenditure per primary student as % of GDP per capita (%),East Asia & Pacific,High income: OECD,1998,16.3433609
240,Kuwait,Government expenditure per primary student as % of GDP per capita (%),Middle East & North Africa,High income: nonOECD,1998,
241,Lao PDR,Government expenditure per primary student as % of GDP per capita (%),East Asia & Pacific,Lower middle income,1998,
242,Latvia,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,High income: nonOECD,1998,17.90055084
243,Lesotho,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Lower middle income,1998,
244,Liechtenstein,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,High income: nonOECD,1998,
245,Lithuania,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,High income: nonOECD,1998,
246,Luxembourg,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,High income: OECD,1998,
247,"Macao SAR, China",Government expenditure per primary student as % of GDP per capita (%),East Asia & Pacific,High income: nonOECD,1998,
248,Madagascar,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Low income,1998,5.895279884
249,Malawi,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Low income,1998,
250,Malaysia,Government expenditure per primary student as % of GDP per capita (%),East Asia & Pacific,Upper middle income,1998,
251,Maldives,Government expenditure per primary student as % of GDP per capita (%),South Asia,Upper middle income,1998,
252,Mali,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Low income,1998,14.3398304
253,Malta,Government expenditure per primary student as % of GDP per capita (%),Middle East & North Africa,High income: nonOECD,1998,10.79741955
254,Mauritania,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Lower middle income,1998,
255,Mauritius,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Upper middle income,1998,
256,Mexico,Government expenditure per primary student as % of GDP per capita (%),Latin America & Caribbean,Upper middle income,1998,8.497980118
257,Moldova,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,Lower middle income,1998,
258,Monaco,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,High income: nonOECD,1998,3.281239986
259,Mongolia,Government expenditure per primary student as % of GDP per capita (%),East Asia & Pacific,Lower middle income,1998,
260,Morocco,Government expenditure per primary student as % of GDP per capita (%),Middle East & North Africa,Lower middle income,1998,18.18530083
261,Mozambique,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Low income,1998,
262,Namibia,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Upper middle income,1998,
263,Nepal,Government expenditure per primary student as % of GDP per capita (%),South Asia,Low income,1998,
264,Netherlands,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,High income: OECD,1998,14.31585026
265,New Caledonia,Government expenditure per primary student as % of GDP per capita (%),East Asia & Pacific,High income: nonOECD,1998,
266,New Zealand,Government expenditure per primary student as % of GDP per capita (%),East Asia & Pacific,High income: OECD,1998,
267,Nicaragua,Government expenditure per primary student as % of GDP per capita (%),Latin America & Caribbean,Lower middle income,1998,
