Country_Name,Indicator_Name,Region,Income_Group,2010
American Samoa,"Elderly literacy rate, population 65+ years, male (%)",East Asia & Pacific,Upper middle income,
American Samoa,"Literacy rate, population 25-64 years, female (%)",East Asia & Pacific,Upper middle income,
American Samoa,"Literacy rate, population 25-64 years, male (%)",East Asia & Pacific,Upper middle income,
American Samoa,"Youth literacy rate, population 15-24 years, female (%)",East Asia & Pacific,Upper middle income,
American Samoa,"Youth literacy rate, population 15-24 years, male (%)",East Asia & Pacific,Upper middle income,
Andorra,"Adult literacy rate, population 15+ years, female (%)",Europe & Central Asia,High income: nonOECD,
Andorra,"Adult literacy rate, population 15+ years, male (%)",Europe & Central Asia,High income: nonOECD,
Andorra,"Elderly literacy rate, population 65+ years, female (%)",Europe & Central Asia,High income: nonOECD,
Andorra,"Elderly literacy rate, population 65+ years, male (%)",Europe & Central Asia,High income: nonOECD,
Andorra,"Literacy rate, population 25-64 years, female (%)",Europe & Central Asia,High income: nonOECD,
Andorra,"Literacy rate, population 25-64 years, male (%)",Europe & Central Asia,High income: nonOECD,
Andorra,"Youth literacy rate, population 15-24 years, female (%)",Europe & Central Asia,High income: nonOECD,
Andorra,"Youth literacy rate, population 15-24 years, male (%)",Europe & Central Asia,High income: nonOECD,
Angola,"Adult literacy rate, population 15+ years, female (%)",Sub-Saharan Africa,Upper middle income,53.40721
Angola,"Adult literacy rate, population 15+ years, male (%)",Sub-Saharan Africa,Upper middle income,79.97415
Angola,"Elderly literacy rate, population 65+ years, female (%)",Sub-Saharan Africa,Upper middle income,11.43792
Angola,"Elderly literacy rate, population 65+ years, male (%)",Sub-Saharan Africa,Upper middle income,47.48307
Angola,"Literacy rate, population 25-64 years, female (%)",Sub-Saharan Africa,Upper middle income,47.12731
Angola,"Literacy rate, population 25-64 years, male (%)",Sub-Saharan Africa,Upper middle income,79.37238
Angola,"Youth literacy rate, population 15-24 years, female (%)",Sub-Saharan Africa,Upper middle income,70.58513
Angola,"Youth literacy rate, population 15-24 years, male (%)",Sub-Saharan Africa,Upper middle income,84.86238
Antigua and Barbuda,"Adult literacy rate, population 15+ years, female (%)",Latin America & Caribbean,High income: nonOECD,99.42
Antigua and Barbuda,"Adult literacy rate, population 15+ years, male (%)",Latin America & Caribbean,High income: nonOECD,98.4
Antigua and Barbuda,"Elderly literacy rate, population 65+ years, female (%)",Latin America & Caribbean,High income: nonOECD,
Antigua and Barbuda,"Elderly literacy rate, population 65+ years, male (%)",Latin America & Caribbean,High income: nonOECD,
Antigua and Barbuda,"Literacy rate, population 25-64 years, female (%)",Latin America & Caribbean,High income: nonOECD,
Antigua and Barbuda,"Literacy rate, population 25-64 years, male (%)",Latin America & Caribbean,High income: nonOECD,
Antigua and Barbuda,"Youth literacy rate, population 15-24 years, female (%)",Latin America & Caribbean,High income: nonOECD,
Antigua and Barbuda,"Youth literacy rate, population 15-24 years, male (%)",Latin America & Caribbean,High income: nonOECD,
Argentina,"Adult literacy rate, population 15+ years, female (%)",Latin America & Caribbean,Upper middle income,97.19341
Argentina,"Adult literacy rate, population 15+ years, male (%)",Latin America & Caribbean,Upper middle income,97.1932
Argentina,"Elderly literacy rate, population 65+ years, female (%)",Latin America & Caribbean,Upper middle income,93.49612
Argentina,"Elderly literacy rate, population 65+ years, male (%)",Latin America & Caribbean,Upper middle income,94.29155
Argentina,"Literacy rate, population 25-64 years, female (%)",Latin America & Caribbean,Upper middle income,97.40356
Argentina,"Literacy rate, population 25-64 years, male (%)",Latin America & Caribbean,Upper middle income,97.11152
Argentina,"Youth literacy rate, population 15-24 years, female (%)",Latin America & Caribbean,Upper middle income,99.12767
Argentina,"Youth literacy rate, population 15-24 years, male (%)",Latin America & Caribbean,Upper middle income,98.7079
Armenia,"Adult literacy rate, population 15+ years, female (%)",Europe & Central Asia,Lower middle income,99.69035
Armenia,"Adult literacy rate, population 15+ years, male (%)",Europe & Central Asia,Lower middle income,99.80608
Armenia,"Elderly literacy rate, population 65+ years, female (%)",Europe & Central Asia,Lower middle income,98.57369
Armenia,"Elderly literacy rate, population 65+ years, male (%)",Europe & Central Asia,Lower middle income,99.49292
Armenia,"Literacy rate, population 25-64 years, female (%)",Europe & Central Asia,Lower middle income,99.88
Armenia,"Literacy rate, population 25-64 years, male (%)",Europe & Central Asia,Lower middle income,99.85444
Armenia,"Youth literacy rate, population 15-24 years, female (%)",Europe & Central Asia,Lower middle income,99.87619
Armenia,"Youth literacy rate, population 15-24 years, male (%)",Europe & Central Asia,Lower middle income,99.81842
Aruba,"Adult literacy rate, population 15+ years, female (%)",Latin America & Caribbean,High income: nonOECD,96.71978
Aruba,"Adult literacy rate, population 15+ years, male (%)",Latin America & Caribbean,High income: nonOECD,96.94053
Aruba,"Elderly literacy rate, population 65+ years, female (%)",Latin America & Caribbean,High income: nonOECD,87.80247
Aruba,"Elderly literacy rate, population 65+ years, male (%)",Latin America & Caribbean,High income: nonOECD,90.32478
Aruba,"Literacy rate, population 25-64 years, female (%)",Latin America & Caribbean,High income: nonOECD,97.97445
Aruba,"Literacy rate, population 25-64 years, male (%)",Latin America & Caribbean,High income: nonOECD,97.54666
Aruba,"Youth literacy rate, population 15-24 years, female (%)",Latin America & Caribbean,High income: nonOECD,99.3231
Aruba,"Youth literacy rate, population 15-24 years, male (%)",Latin America & Caribbean,High income: nonOECD,98.96573
Australia,"Adult literacy rate, population 15+ years, female (%)",East Asia & Pacific,High income: OECD,
Australia,"Adult literacy rate, population 15+ years, male (%)",East Asia & Pacific,High income: OECD,
Australia,"Elderly literacy rate, population 65+ years, female (%)",East Asia & Pacific,High income: OECD,
Australia,"Elderly literacy rate, population 65+ years, male (%)",East Asia & Pacific,High income: OECD,
Australia,"Literacy rate, population 25-64 years, female (%)",East Asia & Pacific,High income: OECD,
Australia,"Literacy rate, population 25-64 years, male (%)",East Asia & Pacific,High income: OECD,
Australia,"Youth literacy rate, population 15-24 years, female (%)",East Asia & Pacific,High income: OECD,
Australia,"Youth literacy rate, population 15-24 years, male (%)",East Asia & Pacific,High income: OECD,
Austria,"Adult literacy rate, population 15+ years, female (%)",Europe & Central Asia,High income: OECD,
Austria,"Adult literacy rate, population 15+ years, male (%)",Europe & Central Asia,High income: OECD,
Austria,"Elderly literacy rate, population 65+ years, female (%)",Europe & Central Asia,High income: OECD,
Austria,"Elderly literacy rate, population 65+ years, male (%)",Europe & Central Asia,High income: OECD,
Austria,"Literacy rate, population 25-64 years, female (%)",Europe & Central Asia,High income: OECD,
Austria,"Literacy rate, population 25-64 years, male (%)",Europe & Central Asia,High income: OECD,
Austria,"Youth literacy rate, population 15-24 years, female (%)",Europe & Central Asia,High income: OECD,
Austria,"Youth literacy rate, population 15-24 years, male (%)",Europe & Central Asia,High income: OECD,
Azerbaijan,"Adult literacy rate, population 15+ years, female (%)",Europe & Central Asia,Upper middle income,99.69263
Azerbaijan,"Adult literacy rate, population 15+ years, male (%)",Europe & Central Asia,Upper middle income,99.85444
Azerbaijan,"Elderly literacy rate, population 65+ years, female (%)",Europe & Central Asia,Upper middle income,97.61982
Azerbaijan,"Elderly literacy rate, population 65+ years, male (%)",Europe & Central Asia,Upper middle income,98.73188
Azerbaijan,"Literacy rate, population 25-64 years, female (%)",Europe & Central Asia,Upper middle income,99.86459
Azerbaijan,"Literacy rate, population 25-64 years, male (%)",Europe & Central Asia,Upper middle income,99.91711
Azerbaijan,"Youth literacy rate, population 15-24 years, female (%)",Europe & Central Asia,Upper middle income,99.93333
Azerbaijan,"Youth literacy rate, population 15-24 years, male (%)",Europe & Central Asia,Upper middle income,99.96745
"Bahamas, The","Adult literacy rate, population 15+ years, female (%)",Latin America & Caribbean,High income: nonOECD,
"Bahamas, The","Adult literacy rate, population 15+ years, male (%)",Latin America & Caribbean,High income: nonOECD,
"Bahamas, The","Elderly literacy rate, population 65+ years, female (%)",Latin America & Caribbean,High income: nonOECD,
"Bahamas, The","Elderly literacy rate, population 65+ years, male (%)",Latin America & Caribbean,High income: nonOECD,
"Bahamas, The","Literacy rate, population 25-64 years, female (%)",Latin America & Caribbean,High income: nonOECD,
"Bahamas, The","Literacy rate, population 25-64 years, male (%)",Latin America & Caribbean,High income: nonOECD,
"Bahamas, The","Youth literacy rate, population 15-24 years, female (%)",Latin America & Caribbean,High income: nonOECD,
"Bahamas, The","Youth literacy rate, population 15-24 years, male (%)",Latin America & Caribbean,High income: nonOECD,
Bahrain,"Adult literacy rate, population 15+ years, female (%)",Middle East & North Africa,High income: nonOECD,91.61258
Bahrain,"Adult literacy rate, population 15+ years, male (%)",Middle East & North Africa,High income: nonOECD,96.14023
Bahrain,"Elderly literacy rate, population 65+ years, female (%)",Middle East & North Africa,High income: nonOECD,31.90705
Bahrain,"Elderly literacy rate, population 65+ years, male (%)",Middle East & North Africa,High income: nonOECD,67.20981
Bahrain,"Literacy rate, population 25-64 years, female (%)",Middle East & North Africa,High income: nonOECD,92.84268
Bahrain,"Literacy rate, population 25-64 years, male (%)",Middle East & North Africa,High income: nonOECD,96.36065
Bahrain,"Youth literacy rate, population 15-24 years, female (%)",Middle East & North Africa,High income: nonOECD,97.58234
Bahrain,"Youth literacy rate, population 15-24 years, male (%)",Middle East & North Africa,High income: nonOECD,98.61991
Bangladesh,"Adult literacy rate, population 15+ years, female (%)",South Asia,Low income,46.74321
Bangladesh,"Adult literacy rate, population 15+ years, male (%)",South Asia,Low income,47.44985
Bangladesh,"Elderly literacy rate, population 65+ years, female (%)",South Asia,Low income,4.32449
Bangladesh,"Elderly literacy rate, population 65+ years, male (%)",South Asia,Low income,32.95369
Bangladesh,"Literacy rate, population 25-64 years, female (%)",South Asia,Low income,37.59813
Bangladesh,"Literacy rate, population 25-64 years, male (%)",South Asia,Low income,46.37369
Bangladesh,"Youth literacy rate, population 15-24 years, female (%)",South Asia,Low income,72.65009
Bangladesh,"Youth literacy rate, population 15-24 years, male (%)",South Asia,Low income,55.75393
Barbados,"Adult literacy rate, population 15+ years, female (%)",Latin America & Caribbean,High income: nonOECD,
Barbados,"Adult literacy rate, population 15+ years, male (%)",Latin America & Caribbean,High income: nonOECD,
Barbados,"Elderly literacy rate, population 65+ years, female (%)",Latin America & Caribbean,High income: nonOECD,
Barbados,"Elderly literacy rate, population 65+ years, male (%)",Latin America & Caribbean,High income: nonOECD,
Barbados,"Literacy rate, population 25-64 years, female (%)",Latin America & Caribbean,High income: nonOECD,
Barbados,"Literacy rate, population 25-64 years, male (%)",Latin America & Caribbean,High income: nonOECD,
Barbados,"Youth literacy rate, population 15-24 years, female (%)",Latin America & Caribbean,High income: nonOECD,
Barbados,"Youth literacy rate, population 15-24 years, male (%)",Latin America & Caribbean,High income: nonOECD,
Belarus,"Adult literacy rate, population 15+ years, female (%)",Europe & Central Asia,Upper middle income,99.49399
Belarus,"Adult literacy rate, population 15+ years, male (%)",Europe & Central Asia,Upper middle income,99.76369
Belarus,"Elderly literacy rate, population 65+ years, female (%)",Europe & Central Asia,Upper middle income,98.16666
Belarus,"Elderly literacy rate, population 65+ years, male (%)",Europe & Central Asia,Upper middle income,99.46066
Belarus,"Literacy rate, population 25-64 years, female (%)",Europe & Central Asia,Upper middle income,99.84579
Belarus,"Literacy rate, population 25-64 years, male (%)",Europe & Central Asia,Upper middle income,99.80534
Belarus,"Youth literacy rate, population 15-24 years, female (%)",Europe & Central Asia,Upper middle income,99.84739
Belarus,"Youth literacy rate, population 15-24 years, male (%)",Europe & Central Asia,Upper middle income,99.80033
Belgium,"Adult literacy rate, population 15+ years, female (%)",Europe & Central Asia,High income: OECD,
Belgium,"Adult literacy rate, population 15+ years, male (%)",Europe & Central Asia,High income: OECD,
Belgium,"Elderly literacy rate, population 65+ years, female (%)",Europe & Central Asia,High income: OECD,
Belgium,"Elderly literacy rate, population 65+ years, male (%)",Europe & Central Asia,High income: OECD,
Belgium,"Literacy rate, population 25-64 years, female (%)",Europe & Central Asia,High income: OECD,
Belgium,"Literacy rate, population 25-64 years, male (%)",Europe & Central Asia,High income: OECD,
Belgium,"Youth literacy rate, population 15-24 years, female (%)",Europe & Central Asia,High income: OECD,
Belgium,"Youth literacy rate, population 15-24 years, male (%)",Europe & Central Asia,High income: OECD,
Belize,"Adult literacy rate, population 15+ years, female (%)",Latin America & Caribbean,Upper middle income,
Belize,"Adult literacy rate, population 15+ years, male (%)",Latin America & Caribbean,Upper middle income,
Belize,"Elderly literacy rate, population 65+ years, female (%)",Latin America & Caribbean,Upper middle income,
Belize,"Elderly literacy rate, population 65+ years, male (%)",Latin America & Caribbean,Upper middle income,
Belize,"Literacy rate, population 25-64 years, female (%)",Latin America & Caribbean,Upper middle income,
Belize,"Literacy rate, population 25-64 years, male (%)",Latin America & Caribbean,Upper middle income,
Belize,"Youth literacy rate, population 15-24 years, female (%)",Latin America & Caribbean,Upper middle income,
Belize,"Youth literacy rate, population 15-24 years, male (%)",Latin America & Caribbean,Upper middle income,
Benin,"Adult literacy rate, population 15+ years, female (%)",Sub-Saharan Africa,Low income,22.09388
Benin,"Adult literacy rate, population 15+ years, male (%)",Sub-Saharan Africa,Low income,44.96026
Benin,"Elderly literacy rate, population 65+ years, female (%)",Sub-Saharan Africa,Low income,1.35646
Benin,"Elderly literacy rate, population 65+ years, male (%)",Sub-Saharan Africa,Low income,11.94767
Benin,"Literacy rate, population 25-64 years, female (%)",Sub-Saharan Africa,Low income,16.27025
Benin,"Literacy rate, population 25-64 years, male (%)",Sub-Saharan Africa,Low income,39.9053
Benin,"Youth literacy rate, population 15-24 years, female (%)",Sub-Saharan Africa,Low income,40.93838
Benin,"Youth literacy rate, population 15-24 years, male (%)",Sub-Saharan Africa,Low income,63.94092
Bermuda,"Adult literacy rate, population 15+ years, female (%)",North America,High income: nonOECD,
Bermuda,"Adult literacy rate, population 15+ years, male (%)",North America,High income: nonOECD,
Bermuda,"Elderly literacy rate, population 65+ years, female (%)",North America,High income: nonOECD,
Bermuda,"Elderly literacy rate, population 65+ years, male (%)",North America,High income: nonOECD,
Bermuda,"Literacy rate, population 25-64 years, female (%)",North America,High income: nonOECD,
Bermuda,"Literacy rate, population 25-64 years, male (%)",North America,High income: nonOECD,
Bermuda,"Youth literacy rate, population 15-24 years, female (%)",North America,High income: nonOECD,
Bermuda,"Youth literacy rate, population 15-24 years, male (%)",North America,High income: nonOECD,
Bhutan,"Adult literacy rate, population 15+ years, female (%)",South Asia,Lower middle income,48.01656
Bhutan,"Adult literacy rate, population 15+ years, male (%)",South Asia,Lower middle income,66.00306
Bhutan,"Elderly literacy rate, population 65+ years, female (%)",South Asia,Lower middle income,3.86781
Bhutan,"Elderly literacy rate, population 65+ years, male (%)",South Asia,Lower middle income,24.28077
Bhutan,"Literacy rate, population 25-64 years, female (%)",South Asia,Lower middle income,35.61217
Bhutan,"Literacy rate, population 25-64 years, male (%)",South Asia,Lower middle income,61.49388
Bhutan,"Youth literacy rate, population 15-24 years, female (%)",South Asia,Lower middle income,84.48774
Bhutan,"Youth literacy rate, population 15-24 years, male (%)",South Asia,Lower middle income,90.39581
Bolivia,"Adult literacy rate, population 15+ years, female (%)",Latin America & Caribbean,Lower middle income,86.82146
Bolivia,"Adult literacy rate, population 15+ years, male (%)",Latin America & Caribbean,Lower middle income,95.80364
Bolivia,"Elderly literacy rate, population 65+ years, female (%)",Latin America & Caribbean,Lower middle income,45.3982
Bolivia,"Elderly literacy rate, population 65+ years, male (%)",Latin America & Caribbean,Lower middle income,78.60473
Bolivia,"Literacy rate, population 25-64 years, female (%)",Latin America & Caribbean,Lower middle income,86.92519
Bolivia,"Literacy rate, population 25-64 years, male (%)",Latin America & Caribbean,Lower middle income,96.28804
Bolivia,"Youth literacy rate, population 15-24 years, female (%)",Latin America & Caribbean,Lower middle income,99.0843
Bolivia,"Youth literacy rate, population 15-24 years, male (%)",Latin America & Caribbean,Lower middle income,99.69364
Bosnia and Herzegovina,"Adult literacy rate, population 15+ years, female (%)",Europe & Central Asia,Upper middle income,96.80371
Bosnia and Herzegovina,"Adult literacy rate, population 15+ years, male (%)",Europe & Central Asia,Upper middle income,99.54133
Bosnia and Herzegovina,"Elderly literacy rate, population 65+ years, female (%)",Europe & Central Asia,Upper middle income,91.74309
Bosnia and Herzegovina,"Elderly literacy rate, population 65+ years, male (%)",Europe & Central Asia,Upper middle income,99.12463
Bosnia and Herzegovina,"Literacy rate, population 25-64 years, female (%)",Europe & Central Asia,Upper middle income,97.36727
Bosnia and Herzegovina,"Literacy rate, population 25-64 years, male (%)",Europe & Central Asia,Upper middle income,99.54611
Bosnia and Herzegovina,"Youth literacy rate, population 15-24 years, female (%)",Europe & Central Asia,Upper middle income,99.15044
Bosnia and Herzegovina,"Youth literacy rate, population 15-24 years, male (%)",Europe & Central Asia,Upper middle income,99.75125
Botswana,"Adult literacy rate, population 15+ years, female (%)",Sub-Saharan Africa,Upper middle income,81.80795
Botswana,"Adult literacy rate, population 15+ years, male (%)",Sub-Saharan Africa,Upper middle income,80.43011
Botswana,"Elderly literacy rate, population 65+ years, female (%)",Sub-Saharan Africa,Upper middle income,26.81527
Botswana,"Elderly literacy rate, population 65+ years, male (%)",Sub-Saharan Africa,Upper middle income,36.31143
Botswana,"Literacy rate, population 25-64 years, female (%)",Sub-Saharan Africa,Upper middle income,76.39627
Botswana,"Literacy rate, population 25-64 years, male (%)",Sub-Saharan Africa,Upper middle income,74.88663
Botswana,"Youth literacy rate, population 15-24 years, female (%)",Sub-Saharan Africa,Upper middle income,95.59602
Botswana,"Youth literacy rate, population 15-24 years, male (%)",Sub-Saharan Africa,Upper middle income,92.08331
Brazil,"Adult literacy rate, population 15+ years, female (%)",Latin America & Caribbean,Upper middle income,90.6817
Brazil,"Adult literacy rate, population 15+ years, male (%)",Latin America & Caribbean,Upper middle income,90.05618
Brazil,"Elderly literacy rate, population 65+ years, female (%)",Latin America & Caribbean,Upper middle income,69.39288
Brazil,"Elderly literacy rate, population 65+ years, male (%)",Latin America & Caribbean,Upper middle income,72.26701
Brazil,"Literacy rate, population 25-64 years, female (%)",Latin America & Caribbean,Upper middle income,91.47349
Brazil,"Literacy rate, population 25-64 years, male (%)",Latin America & Caribbean,Upper middle income,89.93428
Brazil,"Youth literacy rate, population 15-24 years, female (%)",Latin America & Caribbean,Upper middle income,98.31874
Brazil,"Youth literacy rate, population 15-24 years, male (%)",Latin America & Caribbean,Upper middle income,96.71617
British Virgin Islands,"Adult literacy rate, population 15+ years, female (%)",#N/A,#N/A,
British Virgin Islands,"Adult literacy rate, population 15+ years, male (%)",#N/A,#N/A,
British Virgin Islands,"Elderly literacy rate, population 65+ years, female (%)",#N/A,#N/A,
British Virgin Islands,"Elderly literacy rate, population 65+ years, male (%)",#N/A,#N/A,
British Virgin Islands,"Literacy rate, population 25-64 years, female (%)",#N/A,#N/A,
British Virgin Islands,"Literacy rate, population 25-64 years, male (%)",#N/A,#N/A,
British Virgin Islands,"Youth literacy rate, population 15-24 years, female (%)",#N/A,#N/A,
British Virgin Islands,"Youth literacy rate, population 15-24 years, male (%)",#N/A,#N/A,
Brunei Darussalam,"Adult literacy rate, population 15+ years, female (%)",East Asia & Pacific,High income: nonOECD,94.65248
Brunei Darussalam,"Adult literacy rate, population 15+ years, male (%)",East Asia & Pacific,High income: nonOECD,97.42816
Brunei Darussalam,"Elderly literacy rate, population 65+ years, female (%)",East Asia & Pacific,High income: nonOECD,43.75523
Brunei Darussalam,"Elderly literacy rate, population 65+ years, male (%)",East Asia & Pacific,High income: nonOECD,80.81864
Brunei Darussalam,"Literacy rate, population 25-64 years, female (%)",East Asia & Pacific,High income: nonOECD,96.5837
Brunei Darussalam,"Literacy rate, population 25-64 years, male (%)",East Asia & Pacific,High income: nonOECD,97.83945
Brunei Darussalam,"Youth literacy rate, population 15-24 years, female (%)",East Asia & Pacific,High income: nonOECD,99.54606
Brunei Darussalam,"Youth literacy rate, population 15-24 years, male (%)",East Asia & Pacific,High income: nonOECD,99.19989
Bulgaria,"Adult literacy rate, population 15+ years, female (%)",Europe & Central Asia,Upper middle income,97.9839
Bulgaria,"Adult literacy rate, population 15+ years, male (%)",Europe & Central Asia,Upper middle income,98.74723
Bulgaria,"Elderly literacy rate, population 65+ years, female (%)",Europe & Central Asia,Upper middle income,96.74604
Bulgaria,"Elderly literacy rate, population 65+ years, male (%)",Europe & Central Asia,Upper middle income,98.64129
Bulgaria,"Literacy rate, population 25-64 years, female (%)",Europe & Central Asia,Upper middle income,98.53264
Bulgaria,"Literacy rate, population 25-64 years, male (%)",Europe & Central Asia,Upper middle income,98.92084
Bulgaria,"Youth literacy rate, population 15-24 years, female (%)",Europe & Central Asia,Upper middle income,97.65106
Bulgaria,"Youth literacy rate, population 15-24 years, male (%)",Europe & Central Asia,Upper middle income,98.06693
Burkina Faso,"Adult literacy rate, population 15+ years, female (%)",Sub-Saharan Africa,Low income,21.57957
Burkina Faso,"Adult literacy rate, population 15+ years, male (%)",Sub-Saharan Africa,Low income,36.68067
Burkina Faso,"Elderly literacy rate, population 65+ years, female (%)",Sub-Saharan Africa,Low income,5.00997
Burkina Faso,"Elderly literacy rate, population 65+ years, male (%)",Sub-Saharan Africa,Low income,12.20507
Burkina Faso,"Literacy rate, population 25-64 years, female (%)",Sub-Saharan Africa,Low income,16.99501
Burkina Faso,"Literacy rate, population 25-64 years, male (%)",Sub-Saharan Africa,Low income,35.22719
Burkina Faso,"Youth literacy rate, population 15-24 years, female (%)",Sub-Saharan Africa,Low income,33.12532
Burkina Faso,"Youth literacy rate, population 15-24 years, male (%)",Sub-Saharan Africa,Low income,46.73374
Burundi,"Adult literacy rate, population 15+ years, female (%)",Sub-Saharan Africa,Low income,43.15719
Burundi,"Adult literacy rate, population 15+ years, male (%)",Sub-Saharan Africa,Low income,53.12839
Burundi,"Elderly literacy rate, population 65+ years, female (%)",Sub-Saharan Africa,Low income,13.13942
Burundi,"Elderly literacy rate, population 65+ years, male (%)",Sub-Saharan Africa,Low income,26.32177
Burundi,"Literacy rate, population 25-64 years, female (%)",Sub-Saharan Africa,Low income,35.28462
Burundi,"Literacy rate, population 25-64 years, male (%)",Sub-Saharan Africa,Low income,46.51541
Burundi,"Youth literacy rate, population 15-24 years, female (%)",Sub-Saharan Africa,Low income,57.32103
Burundi,"Youth literacy rate, population 15-24 years, male (%)",Sub-Saharan Africa,Low income,66.61451
Cabo Verde,"Adult literacy rate, population 15+ years, female (%)",Sub-Saharan Africa,Lower middle income,80.49622
Cabo Verde,"Adult literacy rate, population 15+ years, male (%)",Sub-Saharan Africa,Lower middle income,90.4745
Cabo Verde,"Elderly literacy rate, population 65+ years, female (%)",Sub-Saharan Africa,Lower middle income,20.62246
Cabo Verde,"Elderly literacy rate, population 65+ years, male (%)",Sub-Saharan Africa,Lower middle income,52.26489
Cabo Verde,"Literacy rate, population 25-64 years, female (%)",Sub-Saharan Africa,Lower middle income,81.64029
Cabo Verde,"Literacy rate, population 25-64 years, male (%)",Sub-Saharan Africa,Lower middle income,90.88184
Cabo Verde,"Youth literacy rate, population 15-24 years, female (%)",Sub-Saharan Africa,Lower middle income,98.39818
Cabo Verde,"Youth literacy rate, population 15-24 years, male (%)",Sub-Saharan Africa,Lower middle income,97.87189
Cambodia,"Adult literacy rate, population 15+ years, female (%)",East Asia & Pacific,Low income,65.93125
Cambodia,"Adult literacy rate, population 15+ years, male (%)",East Asia & Pacific,Low income,82.7524
Cambodia,"Elderly literacy rate, population 65+ years, female (%)",East Asia & Pacific,Low income,18.61879
Cambodia,"Elderly literacy rate, population 65+ years, male (%)",East Asia & Pacific,Low income,70.49176
Cambodia,"Literacy rate, population 25-64 years, female (%)",East Asia & Pacific,Low income,
Cambodia,"Literacy rate, population 25-64 years, male (%)",East Asia & Pacific,Low income,
Cambodia,"Youth literacy rate, population 15-24 years, female (%)",East Asia & Pacific,Low income,85.86868
Cambodia,"Youth literacy rate, population 15-24 years, male (%)",East Asia & Pacific,Low income,88.35612
Cameroon,"Adult literacy rate, population 15+ years, female (%)",Sub-Saharan Africa,Lower middle income,64.7995
Cameroon,"Adult literacy rate, population 15+ years, male (%)",Sub-Saharan Africa,Lower middle income,78.32769
Cameroon,"Elderly literacy rate, population 65+ years, female (%)",Sub-Saharan Africa,Lower middle income,11.96237
Cameroon,"Elderly literacy rate, population 65+ years, male (%)",Sub-Saharan Africa,Lower middle income,42.44267
Cameroon,"Literacy rate, population 25-64 years, female (%)",Sub-Saharan Africa,Lower middle income,63.0522
Cameroon,"Literacy rate, population 25-64 years, male (%)",Sub-Saharan Africa,Lower middle income,77.74419
Cameroon,"Youth literacy rate, population 15-24 years, female (%)",Sub-Saharan Africa,Lower middle income,76.42093
Cameroon,"Youth literacy rate, population 15-24 years, male (%)",Sub-Saharan Africa,Lower middle income,85.39748
Canada,"Adult literacy rate, population 15+ years, female (%)",North America,High income: OECD,
Canada,"Adult literacy rate, population 15+ years, male (%)",North America,High income: OECD,
Canada,"Elderly literacy rate, population 65+ years, female (%)",North America,High income: OECD,
Canada,"Elderly literacy rate, population 65+ years, male (%)",North America,High income: OECD,
Canada,"Literacy rate, population 25-64 years, female (%)",North America,High income: OECD,
Canada,"Literacy rate, population 25-64 years, male (%)",North America,High income: OECD,
